accession_no,author,cdli_id,collection,credits,date_of_origin,dates_referenced,designation,display_name,dynastic_seat,excavation_no,exemplars,findspot_square,genre,id_composite,language,material,museum_no,object_type,period,pleiades_id,popular_name,primary_publication,provenience,publication_date,publication_history,ruler,script,script_remarks,script_type,seal_id,subgenre,subgenre_remarks,text_remarks,year_name_eponym
"","","P463506","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005612/.","23th or 22nd century","","Ititi 1","RIAo Ititi 1","Assyria","","VA 08831a (Ass 20377)","","Royal Inscription","Q005612","Akkadian","stone","","plaque","Old Akkadian","893945","RIMA 1 A.0.1001.1","Ititi 1","Ashur","","","Ititi ","Old Akkadian","inscribed","Cuneiform","","Ititi","","",""
"","","P463507","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005613/.","23th or 22nd century","","Azuzu 2001","RIAo Azuzu 2001","Assyria","","VA 08300 (Ass 21340)","","Royal Inscription","Q005613","Akkadian","metal","","spear head","Old Akkadian","893945","RIMA 1 A.0.1002.2001","Azuzu 2001","Ashur","","","Azuzu ","Old Akkadian","inscribed","Cuneiform","","Azuzu","","",""
"","","P463508","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005614/."," 2044–2036","","Zarriqum 2001","RIAo Zarriqum 2001","Assyria","","Ist EȘEM 07070 (Ass 21982)","","Royal Inscription","Q005614","Akkadian","stone","","plaque","Ur III","893945","RIMA 1 A.0.1003.2001","Zarriqum 2001","Ashur","","","Zarriqum","Ur III","inscribed","Cuneiform","","Zarriqum","","",""
"","","P463509","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005615/.","late 21th or early 20th century","","Son of Urdanum 2001","RIAo Son of Urdanum 2001","Assyria","","VAT 10909","","Royal Inscription","Q005615","Akkadian","clay","","tablet","Old Assyrian","893945","RIMA 1 A.0.1004.2001","Son of Urdanum 2001","Ashur","","","Son of Urdanum","Old Assyrian","inscribed","Cuneiform","","Son of Urdanum","","",""
"","","P463218","Louvre Museum, Paris, France ","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005616/.","late 21th or early 20th century","","Aminu 2001","RIAo Aminu 2001","Assyria","","A 00360","","Royal Inscription","Q005616","Akkadian","stone","","seal (not impression)","Old Assyrian","29492","RIMA 1 A.0.26.2001","Aminu 2001","Assyria","","","Aminu","Old Assyrian","inscribed","Cuneiform","","Aminu","","",""
"","","P463219","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005617/.","late 21th or early 20th century","","Aminu 2002","RIAo Aminu 2002","Assyria","","BM 089034 (1853-06-22, 0001)","","Royal Inscription","Q005617","Akkadian","stone","","seal (not impression)","Old Assyrian","29492","RIMA 1 A.0.26.2002","Aminu 2002","Assyria","","","Aminu","Old Assyrian","inscribed","Cuneiform","","Aminu","","",""
"","","P463221","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005618/.","late 21th or early 20th century","","Šalim-aḫum 1","RIAo Šalim-aḫum 1","Assyria","","VA 08835 (Ass 17186)","","Royal Inscription","Q005618","Akkadian","stone","","block","Old Assyrian","893945","RIMA 1 A.0.31.1","Šalim-aḫum 1","Ashur","","","Šalim-aḫum","Old Assyrian","inscribed","Cuneiform","","Shalim-ahum","","",""
"","","P463222","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005619/.","early 20th century","","Ilu-šumma 1","RIAo Ilu-šumma 1","Assyria","","BM 115690 (Ass 19977)","","Royal Inscription","Q005619","Akkadian","stone","","uncertain","Old Assyrian","893945","RIMA 1 A.0.32.1","Ilu-šumma 1","Ashur","","","Ilu-šumma","Old Assyrian","inscribed","Cuneiform","","Ilu-shumma","","",""
"","","P463223","British Museum, London, UK; Vorderasiatisches Museum, Berlin, Germany; de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland; World Museum Liverpool, Liverpool, UK; Australian Institute of Archaeology, Melbourne, Victoria, Australia; Iraq Museum, Baghdad, Iraq","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005620/.","early 20th century","","Ilu-šumma 2","RIAo Ilu-šumma 2","Assyria","","Weidner, ZA 43 pl. 7; Weidner, ZA 43 pp. 114-123; BM 115696 (1922-08-12, 0071; Ass 20488); WML 33.160; IA5.70; VA Ass 03216b (Ass 06664); LB -; IM 025751; VA Ass 03216g (Ass 22274); VA Ass 03216e (Ass 19954); VA Ass 03216a (Ass 04016); VA Ass 03216f (Ass 21297); VA Ass 03216c (Ass 13705); VA Ass 03216d (Ass 19597); Maresch, MDOG 51 p. 25; Ass 19953","","Royal Inscription","Q005620","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.32.2","Ilu-šumma 2","Ashur","","","Ilu-šumma","Old Assyrian","inscribed","Cuneiform","","Ilu-shumma","","",""
"","","P463224","Anadolu Medeniyetleri Müzesi, Ankara, Turkey","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005621/."," ca. 1974-1935","","Erišum I 01","RIAo Erišum I 01","Assyria","","AMM 20139 (kt a/k 0353); AMM 20114 (kt a/k 0315)","","Royal Inscription","Q005621","Akkadian","clay","","tablet","Old Assyrian","628923","RIMA 1 A.0.33.1","Erišum I 01","Kaniš","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463225","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005622/."," ca. 1974-1935","","Erišum I 02","RIAo Erišum I 02","Assyria","","BM 115689 (Ass 16850)","","Royal Inscription","Q005622","Akkadian","stone","","door socket","Old Assyrian","893945","RIMA 1 A.0.33.2","Erišum I 02","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
