accession_no,author,cdli_id,collection,credits,date_of_origin,dates_referenced,designation,display_name,dynastic_seat,excavation_no,exemplars,findspot_square,genre,id_composite,language,material,museum_no,object_type,period,pleiades_id,popular_name,primary_publication,provenience,publication_date,publication_history,ruler,script,script_remarks,script_type,seal_id,subgenre,subgenre_remarks,text_remarks,year_name_eponym
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q006653/.","","","Cyrus II 1","ARIo CB²a","Persia","","","","Royal Inscription","Q006653","Akkadian","","","","Achaemenid (547-331 BC)","893951","CB²a ","Cyrus II 1","Babylon","","","Cyrus II","Old Persian","inscribed","Cuneiform","","Cyrus II","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q006654/.","","","Cyrus II 2","ARIo CUa","Persia","","","","Royal Inscription","Q006654","Akkadian","","","","Achaemenid (547-331 BC)","912985","CUa","Cyrus II 2","Ur","","","Cyrus II","Old Persian","inscribed","Cuneiform","","Cyrus II","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q006655/.","","","Cyrus II 3","ARIo CWa","Persia","","","","Royal Inscription","Q006655","Akkadian","","","","Achaemenid (547-331 BC)","912986","CWa","Cyrus II 3","Uruk","","","Cyrus II","Old Persian","inscribed","Cuneiform","","Cyrus II","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007129/.","","","Ariaramnes 1","ARIo AmHa","Persia","","","","Royal Inscription","Q007129","Old Persian","","","","Achaemenid (547-331 BC)","903021","AmHa","Ariaramnes 1","Ecbatana","","","Ariaramnes","Old Persian","inscribed","Cuneiform","","Ariaramnes","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007130/.","","","Arsames 1","ARIo AsHa","Persia","","","","Royal Inscription","Q007130","Old Persian","","","","Achaemenid (547-331 BC)","903021","AsHa","Arsames 1","Ecbatana","","","Arsames","Old Persian","inscribed","Cuneiform","","Arsames","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007131/.","","","Cyrus II 4","ARIo CMa","Persia","","","","Royal Inscription","Q007131","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","922693","CMa","Cyrus II 4","Pasargadae","","","Cyrus II","Old Persian","inscribed","Cuneiform","","Cyrus II","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007132/.","","","Cyrus II 5","ARIo CMb","Persia","","","","Royal Inscription","Q007132","Old Persian","","","","Achaemenid (547-331 BC)","922693","CMb","Cyrus II 5","Pasargadae","","","Cyrus II","Old Persian","inscribed","Cuneiform","","Cyrus II","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007133/.","","","Cyrus II 6","ARIo CMc","Persia","","","","Royal Inscription","Q007133","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","922693","CMc","Cyrus II 6","Pasargadae","","","Cyrus II","Old Persian","inscribed","Cuneiform","","Cyrus II","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007134/.","","","Darius I  01","ARIo DB","Persia","","","","Royal Inscription","Q007134","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DB","Darius I  01","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007135/.","","","Darius I  02","ARIo DBa","Persia","","","","Royal Inscription","Q007135","Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBa","Darius I  02","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007136/.","","","Darius I  03","ARIo DBb","Persia","","","","Royal Inscription","Q007136","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBb","Darius I  03","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007137/.","","","Darius I  04","ARIo DBc","Persia","","","","Royal Inscription","Q007137","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBc","Darius I  04","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007138/.","","","Darius I  05","ARIo DBd","Persia","","","","Royal Inscription","Q007138","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBd","Darius I  05","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007139/.","","","Darius I  06","ARIo DBe","Persia","","","","Royal Inscription","Q007139","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBe","Darius I  06","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007140/.","","","Darius I  07","ARIo DBf","Persia","","","","Royal Inscription","Q007140","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBf","Darius I  07","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
"","","","","Based on Rüdiger Schmitt, Die altpersischen Inschriften der Achaimeniden: Editio minor mit deutscher Übersetzung (2009). Digitized, lemmatized, and updated by Henry Heitmann-Gordon, 2016-19, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/ario/Q007141/.","","","Darius I  08","ARIo DBg","Persia","","","","Royal Inscription","Q007141","Akkadian, Old Persian, Elamite","","","","Achaemenid (547-331 BC)","903002","DBg","Darius I  08","Bisutun","","","Darius I","Old Persian","inscribed","Cuneiform","","Darius I","","",""
